anio	comuna	codigo_comuna	region	id_region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v1_cat	v3	v3_cat	v2	v2_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	Navidad	06205	Libertador General Bernardo O'Higgins	6	7081	0.517	0.206	0.471	211	MEDIO BAJO	0.515	MEDIO ALTO	0.344	BAJO	0.554	MEDIO ALTO	0.303	0.59	0.735	0.069
2024	Paredones	06206	Libertador General Bernardo O'Higgins	6	6284	0.457	0.212	0.498	165	MEDIO BAJO	0.358	BAJO	0.632	ALTO	0.504	MEDIO ALTO	0.46	0.04	0.558	0.929
2024	San Fernando	06301	Libertador General Bernardo O'Higgins	6	80547	0.626	0.136	0.581	38	ALTO	0.58	ALTO	0.579	ALTO	0.584	ALTO	0.88	0.773	0.799	0.821
2024	Chépica	06302	Libertador General Bernardo O'Higgins	6	16106	0.496	0.164	0.536	114	MEDIO ALTO	0.408	BAJO	0.706	ALTO	0.493	MEDIO ALTO	0.63	0.218	0.529	0.974
2024	Chimbarongo	06303	Libertador General Bernardo O'Higgins	6	38288	0.556	0.175	0.482	189	MEDIO BAJO	0.439	MEDIO BAJO	0.569	ALTO	0.438	MEDIO BAJO	0.377	0.331	0.323	0.773
2024	Lolol	06304	Libertador General Bernardo O'Higgins	6	7420	0.511	0.22	0.458	225	MEDIO BAJO	0.416	MEDIO BAJO	0.527	MEDIO ALTO	0.43	MEDIO BAJO	0.257	0.259	0.282	0.61
2024	Nancagua	06305	Libertador General Bernardo O'Higgins	6	19589	0.539	0.155	0.459	222	MEDIO BAJO	0.452	MEDIO BAJO	0.456	MEDIO BAJO	0.467	MEDIO BAJO	0.263	0.375	0.43	0.29
2024	Palmilla	06306	Libertador General Bernardo O'Higgins	6	13534	0.575	0.181	0.444	254	BAJO	0.375	BAJO	0.572	ALTO	0.385	BAJO	0.161	0.095	0.121	0.792
2024	Peralillo	06307	Libertador General Bernardo O'Higgins	6	12100	0.567	0.158	0.453	234	BAJO	0.395	BAJO	0.56	MEDIO ALTO	0.403	BAJO	0.23	0.164	0.175	0.743
2024	Placilla	06308	Libertador General Bernardo O'Higgins	6	9259	0.555	0.19	NA	NA	NA	0.389	BAJO	NA	NA	0.438	MEDIO BAJO	NA	0.149	0.323	NA
2024	Pumanque	06309	Libertador General Bernardo O'Higgins	6	3520	0.489	0.147	NA	NA	NA	0.396	BAJO	NA	NA	0.348	BAJO	NA	0.178	0.037	NA
2024	Santa Cruz	06310	Libertador General Bernardo O'Higgins	6	42235	0.596	0.106	0.502	160	MEDIO BAJO	0.515	MEDIO ALTO	0.527	MEDIO ALTO	0.464	MEDIO BAJO	0.47	0.59	0.407	0.61
2024	Talca	07101	Maule	7	241064	0.658	0.106	0.57	54	ALTO	0.655	ALTO	0.546	MEDIO ALTO	0.509	MEDIO ALTO	0.823	0.927	0.578	0.671
2024	Constitución	07102	Maule	7	50601	0.582	0.172	0.517	140	MEDIO ALTO	0.497	MEDIO ALTO	0.515	MEDIO ALTO	0.538	MEDIO ALTO	0.537	0.526	0.674	0.555
2024	Curepto	07103	Maule	7	9209	0.5	0.125	0.526	131	MEDIO ALTO	0.376	BAJO	0.649	ALTO	0.554	MEDIO ALTO	0.567	0.106	0.735	0.945
2024	Empedrado	07104	Maule	7	4185	0.453	0.181	0.394	289	BAJO	0.341	BAJO	0.456	MEDIO BAJO	0.385	BAJO	0.049	0.003	0.121	0.29
2024	Maule	07105	Maule	7	66867	0.614	0.11	0.445	252	BAJO	0.421	MEDIO BAJO	0.51	MEDIO ALTO	0.403	BAJO	0.168	0.276	0.175	0.521
2024	Pelarco	07106	Maule	7	9331	0.562	0.206	0.544	96	MEDIO ALTO	0.375	BAJO	0.684	ALTO	0.573	ALTO	0.69	0.095	0.776	0.968
2024	Pencahue	07107	Maule	7	8625	0.588	0.206	NA	NA	NA	0.392	BAJO	NA	NA	0.403	BAJO	NA	0.158	0.175	NA
2024	Río Claro	07108	Maule	7	15042	0.519	0.208	0.456	229	BAJO	0.388	BAJO	0.46	MEDIO BAJO	0.52	MEDIO ALTO	0.243	0.147	0.619	0.31
2024	San Clemente	07109	Maule	7	47590	0.523	0.18	0.573	46	ALTO	0.458	MEDIO BAJO	0.57	ALTO	0.69	ALTO	0.853	0.398	0.968	0.776
2024	San Rafael	07110	Maule	7	10294	0.541	0.12	NA	NA	NA	0.408	BAJO	NA	NA	0.422	BAJO	NA	0.218	0.244	NA
2024	Cauquenes	07201	Maule	7	44389	0.544	0.161	0.537	111	MEDIO ALTO	0.552	MEDIO ALTO	0.588	ALTO	0.472	MEDIO BAJO	0.637	0.692	0.442	0.864
2024	Chanco	07202	Maule	7	9278	0.513	0.228	0.453	235	BAJO	0.375	BAJO	0.572	ALTO	0.411	BAJO	0.23	0.095	0.207	0.792
