Comuna	Código Comuna	Región	Habitantes	Índice de desarrollo humano	índice pobreza multidimensional	Valor Índice de inclusión digital	Categoría Índice de inclusión digital	Valor sub indicador 1_Acceso	Categoría sub indicador 1_Acceso	Valor sub indicador 2_Político	Categoría sub indicador 2_Político	Valor sub indicador 3_Educativo	Categoría sub indicador 3_Educativo	Valor Índice de inclusión digital	Valor sub indicador 1_Acceso	Valor sub indicador 2_Político	Valor sub indicador 3_Educativo
San Clemente	07109	Maule	47.590	0,523	0,18	0,573	Alto	0,458	Medio bajo	0,69	Alto	0,57	Alto	0,572510736	0,458309008	0,689619593	0,569603607
San Javier	07406	Maule	50.985	0,556	0,155	0,513	Medio Alto	0,429	Medio bajo	0,446	Medio bajo	0,666	Alto	0,513484616	0,428557048	0,445650808	0,666245992
San Rafael	07110	Maule	10.294	0,541	0,12			0,408	Bajo	0,422	Bajo				0,407704673	0,421784296	
Talca	07101	Maule	241.064	0,658	0,106	0,57	Alto	0,655	Alto	0,509	Medio Alto	0,546	Medio Alto	0,569954151	0,654638923	0,509294839	0,545928691
Rinconada	05303	Valparaíso	11.847	0,681	0,251	0,478	Medio bajo	0,573	Medio Alto	0,43	Medio bajo	0,431	Bajo	0,478107078	0,573432135	0,429739800	0,431149300
Vichuquén	07309	Maule	4.329	0,568	0,202			0,455	Medio bajo	0,366	Bajo				0,454707412	0,366095769	
Longaví	07403	Maule	33.467	0,492	0,215	0,424	Bajo	0,393	Bajo	0,366	Bajo	0,513	Medio Alto	0,423853279	0,392665941	0,366095769	0,512798125
Colbún	07402	Maule	23.262	0,566	0,204	0,425	Bajo	0,415	Medio bajo	0,411	Bajo	0,449	Medio bajo	0,425050041	0,415378455	0,411176958	0,448594710
Chonchi	10203	Los Lagos	16.213	0,574	0,284	0,478	Medio bajo	0,424	Medio bajo	0,475	Medio bajo	0,535	Medio Alto	0,477903568	0,424008659	0,474820989	0,534881056
Chillán	16101	Ñuble	202.826	0,646	0,127	0,554	Medio Alto	0,638	Alto	0,501	Medio Alto	0,524	Medio Alto	0,554247306	0,637770070	0,501339335	0,523632513
San Pedro de Atacama	02203	Antofagasta	10.929	0,565	0,225	0,479	Medio bajo	0,379	Bajo	0,576	Alto	0,482	Medio bajo	0,478864985	0,379198913	0,575590704	0,481805338
Cobquecura	16202	Ñuble	5.238	0,506	0,243			0,459	Medio bajo	0,438	Medio bajo				0,458776677	0,437695304	
Chillán Viejo	16103	Ñuble	35.176	0,613	0,152	0,479	Medio bajo	0,498	Medio Alto	0,456	Medio bajo	0,482	Medio bajo	0,478841147	0,498165762	0,456258146	0,482099531
