anio	codigo_comuna	comuna	tipo_comuna	id_region	region	habitantes	indice_de_desarrollo_humano	indice_pobreza_multidimensional	v	v_ranking	v_cat	v1	v2	v3	v1_ranking	v2_ranking	v3_ranking	v1_cat	v2_cat	v3_cat	v_gauge	v1_gauge	v2_gauge	v3_gauge
2024	06106	Graneros	Mixto	6	Libertador General Bernardo O'Higgins	35938	0.597	0.133	0.416	273	BAJO	0.592	0.321	0.335	64	341	285	ALTO	BAJO	BAJO	0.095	0.82	0.014	0.056
2024	06107	Las Cabras	Rural	6	Libertador General Bernardo O'Higgins	27554	0.537	0.165	0.444	253	BAJO	0.409	0.459	0.463	268	210	204	BAJO	MEDIO BAJO	MEDIO BAJO	0.161	0.227	0.398	0.327
2024	06108	Machalí	Urbano	6	Libertador General Bernardo O'Higgins	60875	0.78	0.129	0.558	73	ALTO	0.627	0.551	0.497	39	105	162	ALTO	MEDIO ALTO	MEDIO BAJO	0.767	0.89	0.698	0.463
2024	06109	Malloa	Rural	6	Libertador General Bernardo O'Higgins	13882	0.526	0.134	0.52	137	MEDIO ALTO	0.414	0.52	0.626	262	136	26	BAJO	MEDIO ALTO	ALTO	0.547	0.244	0.619	0.925
2024	06110	Mostazal	Mixto	6	Libertador General Bernardo O'Higgins	27394	0.594	0.21	0.474	205	MEDIO BAJO	0.52	0.501	0.401	137	159	262	MEDIO ALTO	MEDIO ALTO	BAJO	0.327	0.605	0.552	0.132
2024	06111	Olivar	Mixto	6	Libertador General Bernardo O'Higgins	13901	0.643	0.184	0.556	76	ALTO	0.463	0.448	0.758	201	221	2	MEDIO BAJO	MEDIO BAJO	ALTO	0.757	0.422	0.369	0.997
2024	06112	Peumo	Mixto	6	Libertador General Bernardo O'Higgins	14243	0.586	0.108	0.448	246	BAJO	0.446	0.366	0.531	225	327	116	MEDIO BAJO	BAJO	MEDIO ALTO	0.184	0.352	0.08	0.623
2024	06113	Pichidegua	Rural	6	Libertador General Bernardo O'Higgins	20363	0.539	0.13	0.44	258	BAJO	0.419	0.52	0.381	252	137	267	MEDIO BAJO	MEDIO ALTO	BAJO	0.145	0.27	0.619	0.118
2024	06114	Quinta de Tilcoco	Mixto	6	Libertador General Bernardo O'Higgins	13558	0.544	0.148	0.503	159	MEDIO BAJO	0.468	0.493	0.549	194	168	96	MEDIO BAJO	MEDIO ALTO	MEDIO ALTO	0.473	0.439	0.529	0.692
2024	06115	Rengo	Urbano	6	Libertador General Bernardo O'Higgins	63620	0.571	0.136	0.572	49	ALTO	0.576	0.573	0.566	87	80	73	ALTO	ALTO	ALTO	0.847	0.753	0.776	0.766
2024	06116	Requinoa	Mixto	6	Libertador General Bernardo O'Higgins	29508	0.627	0.168	0.536	113	MEDIO ALTO	0.451	0.427	0.729	220	259	6	MEDIO BAJO	BAJO	ALTO	0.63	0.366	0.25	0.984
2024	06117	San Vicente	Mixto	6	Libertador General Bernardo O'Higgins	49559	0.595	0.171	0.505	158	MEDIO BAJO	0.478	0.599	0.438	189	63	234	MEDIO BAJO	ALTO	BAJO	0.48	0.453	0.826	0.23
2024	06201	Pichilemu	Rural	6	Libertador General Bernardo O'Higgins	19847	0.566	0.181	0.569	55	ALTO	0.621	0.626	0.459	44	45	211	ALTO	ALTO	MEDIO BAJO	0.82	0.878	0.878	0.3
2024	06202	La Estrella	Rural	6	Libertador General Bernardo O'Higgins	4609	0.564	0.159	NA	NA	NA	0.443	0.538	NA	229	116	NA	MEDIO BAJO	MEDIO ALTO	NA	NA	0.343	0.674	NA
2024	06203	Litueche	Rural	6	Libertador General Bernardo O'Higgins	8852	0.533	0.278	0.45	244	BAJO	0.435	0.395	0.518	237	299	132	MEDIO BAJO	BAJO	MEDIO ALTO	0.191	0.32	0.135	0.575
2024	06204	Marchihue	Rural	6	Libertador General Bernardo O'Higgins	8715	0.558	0.167	0.374	294	BAJO	0.391	0.382	0.349	293	313	277	BAJO	BAJO	BAJO	0.026	0.152	0.098	0.082
2024	06205	Navidad	Rural	6	Libertador General Bernardo O'Higgins	8885	0.517	0.206	0.471	211	MEDIO BAJO	0.515	0.554	0.344	142	102	281	MEDIO ALTO	MEDIO ALTO	BAJO	0.303	0.59	0.735	0.069
2024	06206	Paredones	Rural	6	Libertador General Bernardo O'Higgins	7228	0.457	0.212	0.498	165	MEDIO BAJO	0.358	0.504	0.632	332	154	23	BAJO	MEDIO ALTO	ALTO	0.46	0.04	0.558	0.929
2024	06301	San Fernando	Urbano	6	Libertador General Bernardo O'Higgins	75585	0.626	0.136	0.581	38	ALTO	0.58	0.584	0.579	79	72	57	ALTO	ALTO	ALTO	0.88	0.773	0.799	0.821
2024	06302	Chépica	Mixto	6	Libertador General Bernardo O'Higgins	15668	0.496	0.164	0.536	114	MEDIO ALTO	0.408	0.493	0.706	270	169	9	BAJO	MEDIO ALTO	ALTO	0.63	0.218	0.529	0.974
2024	06303	Chimbarongo	Rural	6	Libertador General Bernardo O'Higgins	37258	0.556	0.175	0.482	189	MEDIO BAJO	0.439	0.438	0.569	231	241	71	MEDIO BAJO	MEDIO BAJO	ALTO	0.377	0.331	0.323	0.773
2024	06304	Lolol	Rural	6	Libertador General Bernardo O'Higgins	7791	0.511	0.22	0.458	225	MEDIO BAJO	0.416	0.43	0.527	256	255	119	MEDIO BAJO	MEDIO BAJO	MEDIO ALTO	0.257	0.259	0.282	0.61
2024	06305	Nancagua	Mixto	6	Libertador General Bernardo O'Higgins	18723	0.539	0.155	0.459	222	MEDIO BAJO	0.452	0.467	0.456	217	200	215	MEDIO BAJO	MEDIO BAJO	MEDIO BAJO	0.263	0.375	0.43	0.29
2024	06306	Palmilla	Rural	6	Libertador General Bernardo O'Higgins	13060	0.575	0.181	0.444	254	BAJO	0.375	0.385	0.572	314	308	66	BAJO	BAJO	ALTO	0.161	0.095	0.121	0.792
2024	06307	Peralillo	Rural	6	Libertador General Bernardo O'Higgins	12493	0.567	0.158	0.453	234	BAJO	0.395	0.403	0.56	289	291	81	BAJO	BAJO	MEDIO ALTO	0.23	0.164	0.175	0.743
2024	06308	Placilla	Rural	6	Libertador General Bernardo O'Higgins	9438	0.555	0.19	NA	NA	NA	0.389	0.438	NA	294	242	NA	BAJO	MEDIO BAJO	NA	NA	0.149	0.323	NA
2024	06309	Pumanque	Rural	6	Libertador General Bernardo O'Higgins	4559	0.489	0.147	NA	NA	NA	0.396	0.348	NA	287	336	NA	BAJO	BAJO	NA	NA	0.178	0.037	NA
